name,teams,gender,height,race,weight,eyecolor,haircolor,fullname,alteregos,aliases,placeofbirth,firstappearance,creator,occupation,base,relatives,intelligence,strength,speed,durability,power,combat,superPowers
GHu,,Male,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Orphan Of Kos,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ghost Rider V,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ghostface,,,0,Human,,,,,"
",Scream Killer,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Orgrim Doomhammer,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ghost Rider II,,,0,,,,,Daniel Ketch,"
",,,Ghost Rider Vol. 2 #1,,,,"Barbara Ketch (sister, deceased) Ghost Rider (Johnny Blaze) (brother), Jennifer Kale (distant cousin) Noble Kale and Naomi Kale (ancestors)",,,,,,,"Durability,Fire Control,Fire Resistance,Heat Resistance,Super Strength"
Ghost Rider II (MCU),,Male,180,,81,Brown,Black,Roberto Reyes,"
","Ghost Rider, The Rider",,Agents of S.H.I.E.L.D. Season 4: Episode 1,,"Vigilante, Mechanic","Los Angeles, California","Gabe Reyes (brother), Elias Morrow (uncle, deceased)",,,,,,,"Accelerated Healing,Agility,Changing Armor,Death Touch,Dimensional Travel,Durability,Empathy,Endurance,Energy Blasts,Energy Resistance,Enhanced Senses,Fire Control,Fire Resistance,Grim Reaping,Heat Generation,Heat Resistance,Invulnerability,Magic,Marksmanship,Portal Creation,Reflexes,Regeneration,Stamina,Super Strength,Weapons Master"
Ghost Rider (Zarathos' Power),,Male,188,Demon,99,,,Johnny Blaze,"
",,,,,,,,"<div class=""stat-value"">153</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">120</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">353</div>","<div class=""stat-value"">95</div>","Agility,Astral Travel,Cold Resistance,Darkforce Manipulation,Density Control,Dimensional Awareness,Dimensional Travel,Durability,Element Control,Energy Blasts,Energy Resistance,Fire Control,Fire Resistance,Force Fields,Grim Reaping,Heat Resistance,Immortality,Intelligence,Invulnerability,Longevity,Magic,Mind Control Resistance,Omnilingualism,Power Augmentation,Radiation Immunity,Reflexes,Regeneration,Resurrection,Self-Sustenance,Shapeshifting,Size Changing,Stamina,Super Speed,Super Strength,Telekinesis,Telepathy Resistance,Teleportation,Toxin and Disease Resistance,Vitakinesis"
Ghost Rider (Venomized),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">150</div>","<div class=""stat-value"">30,000</div>","<div class=""stat-value"">94</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">220</div>","<div class=""stat-value"">85</div>","Accelerated Healing,Agility,Changing Armor,Danger Sense,Death Touch,Dimensional Travel,Durability,Empathy,Endurance,Energy Blasts,Energy Resistance,Enhanced Senses,Fire Control,Fire Resistance,Grim Reaping,Heat Generation,Heat Resistance,Invulnerability,Jump,Magic,Marksmanship,Natural Weapons,Portal Creation,Reflexes,Regeneration,Shapeshifting,Stamina,Super Speed,Super Strength,Symbiote Costume,Wallcrawling,Weapon-based Powers,Weapons Master,Web Creation"
GHu,,Male,0,,,,,G'Hu,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ghost Rider (MCU),,,0,,,,,,"
",,,,,,,,,,,,,,"Accelerated Healing,Agility,Durability,Element Control,Fire Control,Fire Resistance,Intelligence,Invulnerability,Resurrection"
Melkor (With The Silmarils),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Magik II,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Magik,,Female,0,,,,,Illyana Nikolievna Rasputina,"
",,,,,,,,"<div class=""stat-value"">111</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">12</div>","<div class=""stat-value"">10</div>","<div class=""stat-value"">272</div>","<div class=""stat-value"">70</div>","Accelerated Healing,Astral Projection,Astral Travel,Banish,Clairvoyance,Dimensional Travel,Energy Blasts,Energy Manipulation,Force Fields,Invisibility,Magic,Mind Control,Mind Control Resistance,Portal Creation,Power Absorption,Power Nullifier,Precognition,Shapeshifting,Summoning,Telepathy Resistance,Teleportation,Time Travel,Weapon-based Powers,Weapons Master"
Ghost Rider (SONY),,,0,,,,,,"
",,,,,,,,,,,,,,"Accelerated Healing,Anti-Gravity,Cold Resistance,Durability,Element Control,Endurance,Energy Resistance,Enhanced Sight,Fire Control,Fire Resistance,Gravity Control,Heat Resistance,Invulnerability,Levitation,Regeneration,Resurrection,Super Strength,Teleportation,Toxin and Disease Resistance,Vision - Thermal"
Magic,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Maggie Sawyer,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ghost Rider,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Magenta (CW),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Maggott,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Magdalene,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Magdelene,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Magica De Spell,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Maestro Hulk,,Male,274,,900,Green,White,,"
","Annihilator, Captain Universe, Joe Fixit, Mr. Fixit, Mechano, Professor, Jade Jaws, Golly Green Giant, Green Scar, World Breaker","Dayton, Ohio",Incredible Hulk: Future Imperfect #1,,"Nuclear physicist, Agent of S.H.I.E.L.D.","(Banner) Hulkbuster Base, New Mexico, (Hulk) mobile, but prefers New Mexico","Betty Ross Talbot Banner (wife), Brian Banner (father, apparently deceased), Rebecca Banner (mother, deceased), Morris Walters (uncle), Elaine Banner Walters (aunt, deceased), Jennifer Walters (She-Hulk, cousin), Thaddeus E. 'Thunderbolt' Ross (Father in law)",,,,,,,"Accelerated Healing,Adaptation,Agility,Bullet Time,Cold Resistance,Dexterity,Durability,Endurance,Energy Resistance,Fire Resistance,Heat Resistance,Immortality,Intelligence,Invulnerability,Jump,Latent Abilities,Mind Control Resistance,Power Suit,Radiation Absorption,Radiation Control,Radiation Immunity,Reflexes,Regeneration,Seismic Power,Shapeshifting,Size Changing,Sonic Scream,Spatial Awareness,Stamina,Super Breath,Super Speed,Super Strength,Telepathy Resistance,Toxin and Disease Control,Toxin and Disease Resistance,Underwater breathing,Weapons Master"
Ghost Rider 2099,,,0,,,,,Kenshiro Cochrane,"
",,Place of birth unknown,First appearance unknown,,Occupation unknown,Base of operations unknown,No known relatives,,,,,,,
Madrox,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Madison Jeffries,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Magenta,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Lady Mastermind,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Lady Shiva,,Female,173,,63,Brown,Black,,"
","Sandra Woosan,Jade Canary,The Paper Monkey,Tengu,Sandra Woo-San,Shiva Wu-san,Sandy",China,"Richard Dragon, Kung Fu Fighter #5 - The Arena of No Exit",,Assassin,New York City,"Cassandra Cain (daughter),",,,,,,,"Agility,Intelligence,Marksmanship,Reflexes,Stamina,Stealth,Weapons Master"
Maduvu,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Lady Loki,,Female,193,Asgardian,236,Green,Black,,"
",,Jotunheim,,,Goddess of Mischief,Asgard,,"<div class=""stat-value"">170</div>","<div class=""stat-value"">50,000</div>","<div class=""stat-value"">84</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">224</div>","<div class=""stat-value"">85</div>","Agility,Cold Resistance,Cryokinesis,Dimensional Travel,Durability,Flight,Force Fields,Illusions,Immortality,Intelligence,Invulnerability,Magic,Matter Manipulation,Mind Control,Omnilingualism,Reflexes,Regeneration,Stamina,Super Speed,Super Strength,Telepathy Resistance"
Lady Dorma,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Magdalena,,Female,0,Human,,,,Patience,"
","Benedetta Maria Ferro, Mariella, Sister Rosalia, Arianne de la Croix",,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Lady Deathstrike,,Female,175,,58,Brown,Black,Yuriko Oyama,"
",Ana Cortes,"Osaka, Japan",Alpha Flight Vol. 1 #33 (1985),,,,"Kenji Oyama (Lord Dark Wind, father, deceased), two unnamed brothers (deceased)",,,,,,,"Accelerated Healing,Agility,Durability,Intelligence,Natural Weapons,Reflexes,Stamina,Stealth,Super Speed,Super Strength,Technopath/Cyberpath"
Lady Blackhawk,,Female,170,,53,Blue,Blond,Zinda Blake,"
","Blackhawk, Queen Killer Shark",United States,Blackhawk #133,,"Adventurer, Pilot","Dalten Towers, Metropolis, Blackhawk Island, Eyrie",,,,,,,,"Adaptation,Agility,Intelligence,Marksmanship,Stamina,Stealth,Weapons Master"
Lady Deadpool,,Female,183,,71,Blue,Blond,Wanda Wilson,"
","Boobs, Hot Pants, Lady-D, Deadpool",,"Deadpool: Merc with a Mouth #7 (March, 2010)",,"Mercenary, adventurer",Mobile,,,,,,,,"Accelerated Healing,Agility,Dexterity,Dimensional Awareness,Durability,Endurance,Immortality,Longevity,Marksmanship,Mind Control Resistance,Reflexes,Regeneration,Stamina,Stealth,Super Speed,Super Strength,Telepathy Resistance,Teleportation,Toxin and Disease Resistance,Weapon-based Powers,Weapons Master"
Lady Bullseye,,Female,168,,54,Brown,Black,,"
",,Japan,"Daredevil Vol 2 #111 (November, 2008)",,"Lawyer; Assassin, mercenary","New York City, New York; Japan",,,,,,,,"Agility,Intelligence,Marksmanship,Weapons Master"
Lady Phoenix,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Lady Liadrin,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
L3-37,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Kyp Durron,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
La Borinqueña,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Kylo Ren,,Male,0,,,,,,"
",,,Star Wars: Episode VII - The Force Awakens (2015) ,,,,"Han Solo (Father), Princess Leia (Mother), Luke Skywalker (Uncle)",,,,,,,"Accelerated Healing,Agility,Danger Sense,Durability,Energy Blasts,Enhanced Senses,Force Fields,Hypnokinesis,Illusions,Intelligence,Jump,Light Control,Marksmanship,Precognition,Psionic Powers,Reflexes,Stealth,Super Speed,Super Strength,Telekinesis,Telepathy,The Force,Weapons Master"
Harry Leland,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Kyogre,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Harry Osborn (SONY),,Male,178,,75,Brown,Brown,Harold Osborn,"
","New Goblin, Harry Osborn",New York City,Spider-Man (2002),,Owner of Oscorp,"Oscorp Industries, New York City","Norman Osborn (father, deceased)",,,,,,,"Accelerated Healing,Agility,Durability,Flight,Intelligence,Power Suit,Reflexes,Stamina,Super Speed,Super Strength,Weapon-based Powers"
Lady Styx,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Harrison,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Harpoon,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Harry Potter,,Male,0,,,Green,Black,,"
","Triwizard Champion, Seeker, Quidditch Captain, Leader of Dumbledore's Army, Master of Death",,Harry Potter and the Philosopher's Stone,,Head of the Department of Magical Law Enforcement[,,,,,,,,,"Accelerated Healing,Agility,Animal Control,Energy Blasts,Energy Constructs,Force Fields,Hypnokinesis,Illusions,Intelligence,Invisibility,Magic,Reality Warping,Shapeshifting,Stamina,Stealth,Telekinesis,Telepathy,Teleportation"
Harley Quinn (Injustice),,Female,170,Human,56,Blue,Blond,Harleen Quinzel,"
",,,,,,,,"<div class=""stat-value"">153</div>","<div class=""stat-value"">200</div>","<div class=""stat-value"">54</div>","<div class=""stat-value"">60</div>","<div class=""stat-value"">60</div>","<div class=""stat-value"">85</div>","Accelerated Healing,Agility,Durability,Intelligence,Peak Human Condition,Reflexes,Super Speed,Weapon-based Powers,Weapons Master"
Harumi,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Harley Quinn (Arkham),,Female,168,,89,Blue,Blond,Harleen Frances Quinzel,"
",,Gotham City,Batman Arkham Origins,,"Psychiatrist (Formerly), Professional Criminal","Blackgate, Arkham Asylum, Gotham City",,,,,,,,"Agility,Dexterity,Durability,Endurance,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Touch,Insanity,Intelligence,Latent Abilities,Marksmanship,Peak Human Condition,Plant Control,Reflexes,Stamina,Stealth,Weapon-based Powers,Weapons Master"
Harley Quinn,,Female,170,,63,Blue,Blond,Harleen Francis Quinzel,"
","Harleen Quinzel, Harl, Cupid of Crime, Jane Wisakedjak, Elise Archer, Pumpkin Pooh",,"Batman: Harley Quinn (October, 1999)",,Psychiatrist,Gotham City,"Barry Quinzel (brother), Sharon Quinzel (mother), Nick Quinzel (father), Jenny Quinzel (niece), Nicky Quinzel (nephew)",,,,,,,"Accelerated Healing,Agility,Intelligence,Marksmanship,Peak Human Condition,Reflexes,Stamina,Stealth,Super Strength,Toxin and Disease Resistance"
Harley Quinn (DCEU),,Female,0,Human,,,,Dr. Harleen Frances Quinzel,"
",,,Suicide Squad,,,,,"<div class=""stat-value"">111</div>","<div class=""stat-value"">454</div>","<div class=""stat-value"">60</div>","<div class=""stat-value"">50</div>","<div class=""stat-value"">44</div>","<div class=""stat-value"">65</div>","Agility,Insanity,Intelligence,Marksmanship,Peak Human Condition,Reflexes"
Harddrive,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Deacon,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Harley Quinn (New 52),,Female,168,,45,Blue / White,Red,,"
",Harley hackemup,Gotham City,Suicide Squad Vol 4 1,,Criminal,Coney island,"Nick Quinzel (father) , Sharon Quinzel (mother) , Barry Quinzel (brother) , Frankie Quinzel (brother), Ezzie Quinzel (brother)
Alice Quinzel (aunt), Louie Quinzel (uncle)",,,,,,,"Accelerated Healing,Agility,Intelligence,Peak Human Condition,Reflexes,Stamina,Stealth,Super Strength,Toxin and Disease Resistance"
Dazzler,,Female,173,,52,Blue,Blond,Alison Blaire,"
","Ali, The Disco Dazzler, Songbird, Dazz, Kimberly Schau, Ally","Gardendale, Long Island, New York ",X-Men #130 (1980),,"Adventurer, singer, former actress, model, revolutionary ",,"Bella Blaire (paternal grandmother), Carter Blaire (father, deceased), Katherine Blaire-Brown (Barbara London, mother), Nicholas Brown (step-father), Lois London (half-sister), Longshot (husband) ",,,,,,,"Agility,Audio Control,Energy Absorption,Energy Beams,Energy Blasts,Energy Constructs,Energy Manipulation,Force Fields,Heat Generation,Illusions,Levitation,Light Control,Marksmanship,Resurrection,Stamina"
Hardcore Henry,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Dawnstar,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Davy Jones,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Harrison Wells (CW),,Male,183,,77,Blue,Brown,Harrison Wells,"
",Harry Wells,Earth-2,The Flash Season 2: Episode 2,,"Scientist, Businessman",Central City,Jesse Wells (daughter),,,,,,,"Agility,Intelligence,Intuitive aptitude,Marksmanship"
Dawnbreaker,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">170</div>","<div class=""stat-value"">350,000</div>","<div class=""stat-value"">114</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">266</div>","<div class=""stat-value"">85</div>","Absorption,Audio Control,Cold Resistance,Darkforce Manipulation,Dexterity,Dimensional Travel,Energy Armor,Energy Beams,Energy Blasts,Energy Constructs,Energy Manipulation,Energy Resistance,Flight,Force Fields,Illumination,Illusions,Insanity,Intelligence,Invisibility,Lantern Power Ring,Levitation,Marksmanship,Mind Control Resistance,Omnilingualism,Peak Human Condition,Reflexes,Resurrection,Self-Sustenance,Stamina,Summoning,Super Speed,Telepathy Resistance,Underwater breathing,Weapon-based Powers"
Dawn Summers,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
David Dunn,,Male,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">134</div>","<div class=""stat-value"">226</div>","<div class=""stat-value"">44</div>","<div class=""stat-value"">90</div>","<div class=""stat-value"">50</div>","<div class=""stat-value"">71</div>","Agility,Invulnerability,Super Strength,Toxin and Disease Resistance"
David Dunn,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
David Graves,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Dave Filoni,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Harlan,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Data,,Male,0,,,Yellow,Brown,,"
",B-4,,,,Lieutenant commander,,Dr. Noonian Soong (creator),,,,,,,"Agility,Cold Resistance,Durability,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Heat Resistance,Intelligence,Longevity,Omnilingualism,Reflexes,Super Speed,Super Strength,Technopath/Cyberpath"
Dash,,Male,122,,27,Blue,Blond,Dashiell Robert Parr,"
","The Fastest Kid on Earth, The Dash",,"The Incredibles (Movies, 2004)",,,,"Robert Parr (Mr Incredible, father), Helen Parr (Elastigirl, mother), Violet Parr(Violet, sister), , Jack-jack (brother)",,,,,,,"Agility,Reflexes,Stamina,Super Speed"
David Cain,,Male,188,,110,Blue,Grey,,"
",,,Batman #567,,Assassin,,"Cassandra Cain (daughter), Mad Dog (adopted son) Marque (daughter)",,,,,,,"Agility,Intelligence,Weapon-based Powers,Weapons Master"
Darwin (FOX),,Male,185,,59,Brown,Black,Armando Muñoz,"
",Darwin,,X-Men: First Class,,Taxi Driver,,,,,,,,,"Ability Shift,Accelerated Healing,Adaptation,Changing Armor,Density Control,Durability,Fire Resistance,Heat Resistance,Invulnerability,Self-Sustenance,Stamina,Super Strength,Underwater breathing,Vision - Night"
Darth Zannah,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Daryl Dixon,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">150</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">19</div>","<div class=""stat-value"">17</div>","<div class=""stat-value"">37</div>","<div class=""stat-value"">72</div>","Dexterity,Intelligence,Marksmanship,Reflexes"
Darth Wyyrlok III,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Daughter Of The Cosmos,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Incubus,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Incredible Hulk (Universal),,Male,244,,625,Green,Green,,"
",,Manhattan,Incredible Hulk,,,,,,,,,,,"Absorption,Accelerated Healing,Agility,Cold Resistance,Durability,Heat Resistance,Intelligence,Jump,Radiation Immunity,Reflexes,Stamina,Super Speed,Super Strength,Toxin and Disease Resistance,Weapons Master"
Incineroar,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
